2013,tt1711425,21 & Over,none,notalk,FAIL,13000000,25682380,42195766,13000000,25682380,42195766,1,67878146,67878146
2012,tt1343727,Dredd 3D,disagree,ok,PASS,45000000,13414714,40868994,45658735,13611086,41467257,1,54283708,55078343
2013,tt2024544,12 Years a Slave,disagree,notalk,FAIL,20000000,53107035,158607035,20000000,53107035,158607035,1,211714070,211714070
2013,tt1272878,2 Guns,none,notalk,FAIL,61000000,75612460,132493015,61000000,75612460,132493015,1,208105475,208105475
2013,tt0453562,42,none,men,FAIL,40000000,95020213,95020213,40000000,95020213,95020213,1,190040426,190040426
2013,tt1335975,47 Ronin,none,men,FAIL,225000000,38362475,145803842,225000000,38362475,145803842,1,184166317,184166317
2013,tt1606378,A Good Day to Die Hard,none,notalk,FAIL,92000000,67349198,304249198,92000000,67349198,304249198,1,371598396,371598396
2013,tt2194499,About Time,disagree,ok,PASS,12000000,15323921,87324746,12000000,15323921,87324746,1,102648667,102648667
2013,tt1814621,Admission,none,ok,PASS,13000000,18007317,18007317,13000000,18007317,18007317,1,36014634,36014634
2013,tt1815862,After Earth,none,notalk,FAIL,130000000,60522097,244373198,130000000,60522097,244373198,1,304895295,304895295
2013,tt1800241,American Hustle,disagree,ok,PASS,40000000,148430908,249484909,40000000,148430908,249484909,1,397915817,397915817
2013,tt1322269,August: Osage County,none,ok,PASS,25000000,37304874,50304874,25000000,37304874,50304874,1,87609748,87609748
2013,tt1559547,Beautiful Creatures,none,ok,PASS,50000000,19452138,55940671,50000000,19452138,55940671,1,75392809,75392809
2013,tt2334873,Blue Jasmine,disagree,ok,PASS,18000000,33345833,68447831,18000000,33345833,68447831,1,101793664,101793664
2013,tt1535109,Captain Phillips,none,notalk,FAIL,55000000,107136417,218743570,55000000,107136417,218743570,1,325879987,325879987
2013,tt1939659,Carrie,none,ok,PASS,30000000,35266619,85001659,30000000,35266619,85001659,1,120268278,120268278
2013,tt1985966,Cloudy with a Chance of Meatballs 2,disagree,nowomen,FAIL,78000000,119640264,271725448,78000000,119640264,271725448,1,391365712,391365712
2013,tt1690953,Despicable Me 2,none,ok,PASS,76000000,368065385,970766005,76000000,368065385,970766005,1,1338831390,1338831390
2013,tt2229499,Don Jon,disagree,dubious,FAIL,5500000,24477704,26377704,5500000,24477704,26377704,1,50855408,50855408
2013,tt1535108,Elysium,disagree,ok,PASS,120000000,93050117,286192091,120000000,93050117,286192091,1,379242208,379242208
2013,tt1731141,Ender's Game,none,men,FAIL,110000000,61737191,89737191,110000000,61737191,89737191,1,151474382,151474382
2013,tt0848537,Epic,disagree,ok,PASS,100000000,107518682,268418682,100000000,107518682,268418682,1,375937364,375937364
2013,tt0765446,Escape from Planet Earth,none,ok,PASS,40000000,57012977,66454811,40000000,57012977,66454811,1,123467788,123467788
2013,tt1211956,Escape Plan,none,men,FAIL,70000000,25213103,103813103,70000000,25213103,103813103,1,129026206,129026206
2013,tt1288558,Evil Dead,disagree,ok,PASS,17000000,54239856,97402049,17000000,54239856,97402049,1,151641905,151641905
2013,tt1905041,Fast and Furious 6,disagree,ok,PASS,160000000,238679850,788128122,160000000,238679850,788128122,1,1026807972,1026807972
2013,tt2294629,Frozen,none,ok,PASS,150000000,393050114,1004550114,150000000,393050114,1004550114,1,1397600228,1397600228
2013,tt1583421,G.I. Joe: Retaliation,disagree,ok,PASS,140000000,122523060,371923060,140000000,122523060,371923060,1,494446120,494446120
2013,tt1321870,Gangster Squad,none,notalk,FAIL,60000000,46000903,104100903,60000000,46000903,104100903,1,150101806,150101806
2013,tt2425486,Gloria,none,ok,PASS,30000000,4167493,4967493,30000000,4167493,4967493,1,9134986,9134986
2013,tt1454468,Gravity,disagree,nowomen,FAIL,110000000,271814796,708714796,110000000,271814796,708714796,1,980529592,980529592
2013,tt2191701,Grown Ups 2,disagree,men,FAIL,80000000,133668525,247023808,80000000,133668525,247023808,1,380692333,380692333
2013,tt1428538,Hansel & Gretel: Witch Hunters,none,ok,PASS,50000000,55703475,225703475,50000000,55703475,225703475,1,281406950,281406950
